sales_method_,years_as_customer_,state_,revenue_mean,revenue_sum,nb_sold_mean,nb_sold_sum
Email and call,0,Florida,185.80263157894737,3530.25,12.375,297
Email,1,Georgia,103.79058823529412,3528.88,10.444444444444445,376
Email,4,Florida,96.07000000000001,3266.38,9.694444444444445,349
Email,1,North Carolina,95.65617647058824,3252.31,9.657142857142857,338
Email,1,New Jersey,101.2784375,3240.91,10.057142857142857,352
Email and call,3,Florida,200.4375,3207.0,13.0,247
Email,3,Ohio,100.1046875,3203.35,10.0,360
Email,0,Ohio,103.35133333333333,3100.54,10.3125,330
Email,3,Illinois,96.709375,3094.7,9.628571428571428,337
Email,4,Pennsylvania,98.77129032258064,3061.91,9.903225806451612,307
Email,2,Ohio,97.1916129032258,3012.94,9.787878787878787,323
Email,7,Texas,98.51533333333333,2955.46,9.903225806451612,307
Call,3,California,49.16466666666667,2949.88,9.741935483870968,604
Email,6,Texas,101.66931034482758,2948.41,10.225806451612904,317
Email,1,Indiana,94.61193548387097,2932.97,9.424242424242424,311
Email,4,New York,97.4,2922.0,9.945945945945946,368
Email,4,Illinois,97.39133333333332,2921.74,9.741935483870968,302
Email,7,Florida,100.39,2911.31,10.064516129032258,312
Email and call,6,California,191.24666666666664,2868.7,12.6875,203
Email,5,New York,98.16241379310345,2846.71,9.827586206896552,285
Call,0,California,50.165000000000006,2809.2400000000002,10.070175438596491,574
Email,4,Georgia,96.52586206896552,2799.25,9.7,291
Email,1,Virginia,99.66607142857143,2790.65,10.033333333333333,301
Email and call,3,Illinois,199.03071428571428,2786.43,13.277777777777779,239
Email,8,California,95.95896551724138,2782.81,9.647058823529411,328
Call,1,Texas,47.914655172413795,2779.05,9.576271186440678,565
Email and call,5,Texas,184.468,2767.02,11.823529411764707,201
Email,6,New York,98.60535714285713,2760.95,9.8,294
Call,1,Florida,50.15563636363636,2758.56,10.0,570
Call,1,New York,46.89431034482759,2719.87,9.344827586206897,542
Email,2,North Carolina,96.8442857142857,2711.64,9.6875,310
Email,2,Indiana,100.2062962962963,2705.57,10.11111111111111,273
Email,3,Michigan,92.20758620689655,2674.02,9.225806451612904,286
Email,1,Missouri,101.07576923076924,2627.9700000000003,10.178571428571429,285
Call,2,Texas,46.871785714285714,2624.82,9.271186440677965,547
Email,2,Michigan,99.59923076923077,2589.58,9.857142857142858,276
Email,5,Illinois,97.83153846153846,2543.62,9.724137931034482,282
Email and call,2,Ohio,194.69538461538463,2531.04,12.857142857142858,180
Email and call,1,Michigan,179.57714285714286,2514.08,11.866666666666667,178
Call,2,New York,49.2738,2463.69,9.882352941176471,504
Email and call,1,Virginia,188.91538461538462,2455.9,12.571428571428571,176
Email,2,Tennessee,98.0704,2451.76,9.8,245
Call,4,California,47.81156862745098,2438.39,9.685185185185185,523
Call,5,California,46.81980769230769,2434.63,9.346153846153847,486
Email and call,4,New York,184.18769230769232,2394.44,12.142857142857142,170
Email,1,Massachusetts,95.462,2386.55,9.535714285714286,267
Email and call,2,Pennsylvania,183.27384615384614,2382.56,11.823529411764707,201
Email and call,0,Illinois,182.94923076923078,2378.34,12.214285714285714,171
Email,0,Pennsylvania,94.8652,2371.63,9.461538461538462,246
Email,3,Georgia,97.09833333333334,2330.36,9.88888888888889,267
Email,4,North Carolina,100.03304347826088,2300.76,10.043478260869565,231
Email,1,South Carolina,95.34500000000001,2288.28,9.5,228
Email and call,2,Michigan,188.36166666666668,2260.34,12.4,186
Email,2,Missouri,97.57130434782609,2244.14,9.72,243
Email,1,Tennessee,97.27565217391304,2237.34,9.875,237
Email and call,2,Georgia,186.34666666666666,2236.16,12.333333333333334,148
Email,1,Oklahoma,101.56,2234.32,10.090909090909092,222
Email,2,Virginia,92.70416666666667,2224.9,9.222222222222221,249
Email,9,California,96.38521739130435,2216.86,9.73076923076923,253
Email,5,Georgia,100.67681818181818,2214.89,10.0,220
Email,9,Pennsylvania,95.97434782608696,2207.41,9.625,231
Email and call,1,New Jersey,182.95666666666668,2195.48,12.23076923076923,159
Email,0,Michigan,98.17318181818182,2159.81,9.782608695652174,225
Email,10,California,100.64,2113.44,10.130434782608695,233
Email,3,Virginia,100.46666666666667,2109.8,10.173913043478262,234
Email and call,1,Illinois,191.0709090909091,2101.78,12.583333333333334,151
Email and call,1,Tennessee,190.00818181818184,2090.09,12.583333333333334,151
Email,1,Maryland,98.6004761904762,2070.61,9.954545454545455,219
Email,4,Ohio,94.02181818181818,2068.48,9.458333333333334,227
Email and call,4,Florida,183.8881818181818,2022.77,12.416666666666666,149
Email,3,Pennsylvania,95.98809523809524,2015.75,9.714285714285714,204
Email,6,Florida,98.7085,1974.17,9.8,196
Email,8,Texas,93.64809523809524,1966.61,9.416666666666666,226
Email,0,Indiana,97.791,1955.82,9.904761904761905,208
Call,1,Ohio,48.595,1943.8,9.725,389
Email and call,1,Washington,175.69818181818184,1932.68,12.076923076923077,157
Call,2,Florida,47.68875,1907.55,9.547619047619047,401
Email,11,California,95.20750000000001,1904.15,9.375,225
Email and call,2,New York,173.01,1903.11,11.615384615384615,151
Email,5,Michigan,94.6875,1893.75,9.590909090909092,211
Email,3,Washington,99.64842105263158,1893.32,9.857142857142858,207
Email,4,Michigan,99.51157894736842,1890.72,9.947368421052632,189
Call,7,California,46.04073170731707,1887.67,9.232558139534884,397
Email and call,5,Florida,171.02545454545455,1881.28,11.692307692307692,152
Email,1,Colorado,98.90842105263158,1879.26,10.0,200
Email,6,Illinois,93.6995,1873.99,9.409090909090908,207
Email and call,3,Ohio,187.325,1873.25,12.75,153
Email,0,Illinois,98.27473684210527,1867.22,9.9,198
Email and call,2,Maryland,186.031,1860.31,12.0,132
Email,6,Pennsylvania,96.62894736842105,1835.95,9.727272727272727,214
Email and call,0,Arizona,182.918,1829.18,12.0,120
Email,5,North Carolina,95.4421052631579,1813.4,9.4,188
Email,1,Louisiana,94.81263157894738,1801.44,9.55,191
Email,0,Arizona,98.70666666666666,1776.72,10.0,210
Email,3,Missouri,98.28333333333333,1769.1,9.75,195
Email and call,0,Virginia,176.25,1762.5,11.7,117
Call,6,California,45.97184210526316,1746.93,9.153846153846153,357
Email and call,3,Indiana,192.79666666666668,1735.17,12.2,122
Email,10,New York,96.01833333333333,1728.33,9.666666666666666,174
Email and call,0,Massachusetts,172.668,1726.68,11.363636363636363,125
Email,6,Georgia,101.16647058823528,1719.83,10.222222222222221,184
Email and call,0,Georgia,190.3022222222222,1712.72,12.727272727272727,140
Email,1,Arizona,94.39611111111111,1699.13,9.473684210526315,180
Email,3,Massachusetts,94.36055555555555,1698.49,9.473684210526315,180
Email,4,New Jersey,98.76235294117647,1678.96,9.941176470588236,169
Email and call,2,South Carolina,186.03,1674.27,12.444444444444445,112
Email,4,Maryland,98.42235294117647,1673.18,9.842105263157896,187
Email,1,Wisconsin,98.27352941176471,1670.65,9.705882352941176,165
Email,1,Minnesota,97.97117647058823,1665.51,9.789473684210526,186
Email,9,Florida,92.25777777777779,1660.64,9.3,186
Email,0,North Carolina,97.0035294117647,1649.06,9.55,191
Email,2,South Carolina,102.1875,1635.0,10.222222222222221,184
Email,2,Maryland,95.33235294117648,1620.65,9.55,191
Email and call,1,Massachusetts,201.76625,1614.13,13.11111111111111,118
Email,1,Alabama,100.331875,1605.31,9.882352941176471,168
Call,1,Illinois,47.10588235294117,1601.6,9.457142857142857,331
Call,3,New York,50.0290625,1600.93,10.0,320
Email,2,Oregon,99.6275,1594.04,9.944444444444445,179
Email and call,3,Georgia,199.2,1593.6,13.333333333333334,120
Email and call,2,Oklahoma,177.04888888888888,1593.44,11.666666666666666,105
Email,0,Virginia,99.508125,1592.13,9.8125,157
Email,0,Wisconsin,93.64117647058823,1591.9,9.444444444444445,170
Call,1,Georgia,46.635882352941174,1585.62,9.264705882352942,315
Email,4,Arizona,98.933125,1582.93,10.0,170
Email and call,9,California,175.48444444444442,1579.36,11.7,117
Email,0,Tennessee,98.586875,1577.39,9.789473684210526,186
Email and call,2,Indiana,197.10625,1576.85,13.0,104
Email,2,Massachusetts,92.75117647058823,1576.77,9.176470588235293,156
Call,4,Texas,47.72333333333333,1574.87,9.571428571428571,335
Email,10,Texas,98.185625,1570.97,9.875,158
Email and call,1,Minnesota,196.08375,1568.67,13.0,104
Call,0,New York,48.87625,1564.04,9.818181818181818,324
Email,0,Georgia,97.58687499999999,1561.3899999999999,9.647058823529411,164
Email,8,Illinois,97.564375,1561.03,9.8125,157
Email and call,5,New York,172.08888888888887,1548.8,11.555555555555555,104
Email,1,Kentucky,102.078,1531.17,10.176470588235293,173
Email,4,Washington,95.24,1523.84,9.578947368421053,182
Email,8,New York,94.99375,1519.9,9.421052631578947,179
Email and call,8,Washington,189.17125,1513.37,12.5,100
Call,4,Florida,48.442903225806454,1501.73,9.741935483870968,302
Email and call,9,Texas,187.25875,1498.07,12.5,100
Email and call,3,Kentucky,185.915,1487.32,12.375,99
Email,9,Texas,98.72333333333333,1480.85,9.8,147
Email and call,5,Ohio,210.96428571428572,1476.75,13.444444444444445,121
Call,3,Texas,49.007,1470.21,9.741935483870968,302
Call,0,Texas,50.5,1464.5,10.0,320
Email,2,Arizona,97.58733333333333,1463.81,9.8125,157
Email and call,0,Pennsylvania,182.54375,1460.35,11.454545454545455,126
Email and call,1,Oregon,181.74125,1453.93,12.444444444444445,112
Email,8,Florida,96.56466666666667,1448.47,9.444444444444445,170
Email,3,North Carolina,96.25333333333333,1443.8,9.625,154
Email,13,California,96.144,1442.16,9.6,144
Email and call,2,North Carolina,205.42142857142858,1437.95,13.5,108
Email,3,Indiana,95.50133333333333,1432.52,9.555555555555555,172
Email and call,1,Arizona,178.7825,1430.26,12.333333333333334,111
Email,0,Maryland,95.30866666666665,1429.6299999999999,9.533333333333333,143
Email,4,Tennessee,102.02857142857144,1428.4,10.235294117647058,174
Email,2,Louisiana,95.15866666666668,1427.38,9.533333333333333,143
Email and call,3,North Carolina,178.26125000000002,1426.0900000000001,11.88888888888889,107
Call,0,Florida,54.69653846153846,1422.11,10.923076923076923,284
Email,6,Wisconsin,94.72399999999999,1420.86,9.5625,153
Call,1,New Jersey,47.22833333333333,1416.85,9.433333333333334,283
Email and call,6,Washington,177.065,1416.52,11.444444444444445,103
Call,1,Pennsylvania,48.79965517241379,1415.19,9.724137931034482,282
Email and call,3,Pennsylvania,176.38875,1411.11,11.625,93
Email,2,Washington,94.03999999999999,1410.6,9.555555555555555,172
Email,0,Washington,93.966,1409.49,9.375,150
Email and call,4,Arizona,201.07142857142858,1407.5,12.75,102
Email and call,1,Arkansas,200.96428571428572,1406.75,13.142857142857142,92
Email and call,2,New Jersey,200.81571428571428,1405.71,13.428571428571429,94
Email and call,0,Alabama,197.88714285714286,1385.21,13.0,104
Email,2,Kentucky,98.30571428571429,1376.28,9.714285714285714,136
Email and call,5,Michigan,171.835,1374.68,11.5,92
Email,5,New Jersey,97.86928571428572,1370.17,9.6875,155
Email,1,Washington,97.85928571428572,1370.03,10.0,150
Email and call,1,Missouri,169.93375,1359.47,12.0,132
Email and call,5,New Jersey,169.58375,1356.67,11.5,115
Email,1,Oregon,96.905,1356.67,9.666666666666666,145
Email and call,1,Georgia,168.64875,1349.19,12.0,144
Email and call,0,Ohio,192.6157142857143,1348.31,12.272727272727273,135
Email,3,New Jersey,96.21642857142857,1347.03,9.6875,155
Email,7,New York,95.97928571428572,1343.71,9.75,156
Email,2,Oklahoma,103.29846153846155,1342.88,10.23076923076923,133
Email and call,0,Oregon,191.75571428571428,1342.29,12.714285714285714,89
Email,6,Virginia,103.20769230769231,1341.7,10.307692307692308,134
Email and call,4,Michigan,191.5742857142857,1341.02,12.25,98
Email,8,Indiana,102.63538461538461,1334.26,10.384615384615385,135
Email and call,4,Georgia,190.34714285714287,1332.43,12.5,100
Call,3,Florida,48.67407407407408,1314.2,9.857142857142858,276
Email,3,Maryland,93.87142857142858,1314.2,9.4,141
Email,2,Colorado,93.64857142857143,1311.08,9.666666666666666,174
Email and call,0,Michigan,187.1885714285714,1310.32,12.666666666666666,114
Email and call,5,Oregon,186.38857142857142,1304.72,12.285714285714286,86
Email and call,2,Illinois,186.06714285714287,1302.47,11.875,95
Email,5,Ohio,99.69,1295.97,9.923076923076923,129
Call,4,New York,47.96,1294.92,9.357142857142858,262
Email and call,7,Texas,184.97285714285712,1294.81,12.625,101
Email,3,Louisiana,99.38692307692307,1292.03,9.8,147
Email and call,8,California,161.135,1289.08,11.545454545454545,127
Email,0,Colorado,98.95307692307694,1286.39,9.9375,159
Email,1,Connecticut,98.17384615384616,1276.26,9.933333333333334,149
Email and call,2,Louisiana,212.61166666666668,1275.67,14.0,98
Email,5,Pennsylvania,106.10083333333334,1273.21,10.625,170
Email,7,Michigan,97.57923076923076,1268.53,9.928571428571429,139
Email and call,8,Texas,181.19571428571427,1268.37,12.0,84
Email,4,Alabama,97.12230769230769,1262.59,9.538461538461538,124
Email,8,Georgia,96.57076923076923,1255.42,9.615384615384615,125
Email,4,Missouri,96.28307692307693,1251.68,9.692307692307692,126
Call,8,California,44.56178571428571,1247.73,8.933333333333334,268
Email and call,1,Connecticut,207.51166666666666,1245.07,13.833333333333334,83
Email and call,3,Arizona,177.79,1244.53,11.625,93
Email and call,2,Wisconsin,177.08714285714285,1239.61,12.25,98
Email,8,Washington,95.27076923076923,1238.52,9.461538461538462,123
Email and call,1,Wisconsin,176.40571428571428,1234.84,11.857142857142858,83
Email and call,7,California,176.07999999999998,1232.56,11.75,94
Email,7,Georgia,94.44999999999999,1227.85,9.1875,147
Email,3,Minnesota,94.11615384615385,1223.51,9.666666666666666,145
Email,4,Indiana,93.85230769230769,1220.08,9.357142857142858,131
Email and call,0,South Carolina,203.32333333333335,1219.94,13.0,104
Call,3,Ohio,45.16703703703703,1219.51,9.0,243
Email,5,Wisconsin,93.8076923076923,1219.5,9.23076923076923,120
Email,6,Missouri,101.46083333333333,1217.53,10.25,123
Email,6,Washington,93.65384615384616,1217.5,9.384615384615385,122
Email,7,Indiana,92.42,1201.46,9.307692307692308,121
Email,2,Nevada,99.67083333333333,1196.05,9.833333333333334,118
Email and call,6,North Carolina,170.7757142857143,1195.43,11.375,91
Email,2,Connecticut,99.1025,1189.23,9.846153846153847,128
Call,1,North Carolina,49.505833333333335,1188.14,9.916666666666666,238
Email,6,Michigan,98.99666666666667,1187.96,10.0,120
Email,0,New Jersey,98.72250000000001,1184.67,9.866666666666667,148
Email and call,0,Missouri,168.81571428571428,1181.71,12.0,108
Email,0,Kentucky,98.3975,1180.77,9.916666666666666,119
Email,8,Ohio,98.06333333333333,1176.76,9.75,117
Email and call,5,Illinois,196.10833333333335,1176.65,12.857142857142858,90
Call,3,Virginia,46.8868,1172.17,9.4,235
Email,4,Kansas,97.35000000000001,1168.2,9.75,117
Email,0,Missouri,97.34666666666668,1168.16,9.785714285714286,137
Email,4,Oregon,106.08454545454546,1166.93,10.25,123
Email and call,2,Virginia,166.61714285714285,1166.32,11.25,90
Email and call,0,Washington,194.36666666666667,1166.2,13.0,78
Email,3,South Carolina,105.45545454545454,1160.01,10.454545454545455,115
Email,3,Arizona,96.64083333333333,1159.69,9.583333333333334,115
Email,6,New Jersey,96.6275,1159.53,9.666666666666666,116
Email,7,Illinois,96.61583333333334,1159.39,9.384615384615385,122
Email,13,New York,96.53916666666667,1158.47,9.666666666666666,116
Call,1,Michigan,48.10166666666667,1154.44,9.583333333333334,230
Email and call,4,New Jersey,191.51833333333335,1149.1100000000001,13.0,104
Email,2,Minnesota,95.66000000000001,1147.92,9.76923076923077,127
Email,0,Minnesota,95.57666666666667,1146.92,9.76923076923077,127
Email and call,6,Texas,163.68714285714285,1145.81,10.875,87
Email,5,Missouri,94.94500000000001,1139.3400000000001,9.428571428571429,132
Email and call,1,Louisiana,189.06333333333336,1134.38,12.714285714285714,89
Call,5,Texas,45.26,1131.5,8.96551724137931,260
Email,6,Tennessee,94.28166666666668,1131.38,9.416666666666666,113
Call,2,Ohio,45.2292,1130.73,8.961538461538462,233
Email and call,2,Washington,188.19500000000002,1129.17,12.0,96
Email,12,California,94.00083333333333,1128.01,9.23076923076923,120
Email and call,1,Oklahoma,187.61833333333334,1125.71,12.857142857142858,90
Email and call,12,California,187.48166666666665,1124.8899999999999,12.142857142857142,85
Email,3,Tennessee,93.57833333333333,1122.94,9.153846153846153,119
Email and call,12,Georgia,186.31833333333336,1117.91,12.333333333333334,74
Call,1,Arizona,46.435833333333335,1114.46,9.26923076923077,241
Email,9,New York,92.52749999999999,1110.33,9.333333333333334,112
Email,7,North Carolina,100.77363636363636,1108.51,10.090909090909092,111
Call,6,Texas,50.37409090909091,1108.23,10.0,220
Email,10,North Carolina,92.18416666666667,1106.21,9.166666666666666,110
Email,5,Alabama,100.51090909090908,1105.62,10.0,110
Email and call,3,Virginia,184.15333333333334,1104.92,12.166666666666666,73
Email,3,Wisconsin,91.87416666666667,1102.49,9.153846153846153,119
Email,8,Pennsylvania,91.27,1095.24,9.142857142857142,128
Email,11,Florida,99.2690909090909,1091.96,10.0,110
Email and call,7,Ohio,181.42166666666665,1088.53,11.857142857142858,83
Email,1,Utah,98.89181818181818,1087.81,9.916666666666666,119
Email and call,4,Illinois,180.96166666666667,1085.77,12.333333333333334,111
Email,2,Alabama,98.60181818181817,1084.62,9.846153846153847,128
Email and call,3,Washington,180.63666666666666,1083.82,11.5,92
Email and call,0,Wisconsin,180.28666666666666,1081.72,11.88888888888889,107
Email,5,Virginia,98.16636363636363,1079.83,9.75,117
Email,0,Louisiana,97.91727272727272,1077.09,9.916666666666666,119
Email and call,1,North Carolina,179.385,1076.31,11.857142857142858,83
Call,2,Illinois,48.82272727272727,1074.1,9.652173913043478,222
Email and call,3,Michigan,178.91166666666666,1073.47,12.333333333333334,111
Email and call,3,West Virginia,178.365,1070.19,11.666666666666666,70
Email and call,0,North Carolina,177.87166666666667,1067.23,12.625,101
Call,2,Indiana,48.48454545454546,1066.66,9.590909090909092,211
Email and call,0,Nebraska,176.54666666666665,1059.28,12.142857142857142,85
Call,10,California,46.052608695652175,1059.21,9.166666666666666,220
Email,8,Massachusetts,96.11181818181818,1057.23,9.545454545454545,105
Call,3,Illinois,45.87,1055.01,9.173913043478262,211
Call,2,North Carolina,47.945,1054.79,9.545454545454545,210
Call,5,New York,47.91318181818181,1054.09,9.44,236
Call,9,California,47.75727272727273,1050.66,9.434782608695652,217
Email,7,Washington,94.96454545454544,1044.61,9.545454545454545,105
Email,5,Colorado,94.79545454545455,1042.75,9.666666666666666,116
Email and call,3,Colorado,173.57000000000002,1041.42,11.5,69
Email and call,1,Kentucky,173.27166666666668,1039.63,11.714285714285714,82
Email,16,Texas,94.44636363636364,1038.91,9.363636363636363,103
Email,0,Massachusetts,103.821,1038.21,10.4,104
Email and call,4,Tennessee,172.0716666666667,1032.43,12.222222222222221,110
Call,2,Pennsylvania,44.79086956521739,1030.19,9.0,234
Email and call,2,Arizona,170.58333333333334,1023.5,11.428571428571429,80
Call,3,Pennsylvania,46.307272727272725,1018.76,9.227272727272727,203
Call,1,Virginia,50.7295,1014.59,10.1,202
Email,11,New York,101.27799999999999,1012.78,10.0,110
Email and call,6,New York,201.83999999999997,1009.1999999999999,13.666666666666666,82
Email,7,Ohio,100.525,1005.25,10.0,110
Email,9,Illinois,90.80727272727273,998.88,9.166666666666666,110
Call,6,Illinois,47.54380952380952,998.42,9.409090909090908,207
Email,2,Wisconsin,90.65363636363637,997.19,9.307692307692308,121
Email and call,4,Wisconsin,199.156,995.78,13.0,65
Email and call,0,Tennessee,198.08,990.4000000000001,13.428571428571429,94
Email,10,Virginia,98.88,988.8,10.0,100
Email,3,Alabama,98.86,988.6,10.0,100
Email and call,2,Utah,197.642,988.21,13.2,66
Email,3,Oklahoma,98.735,987.35,9.909090909090908,109
Email and call,2,Minnesota,164.43166666666667,986.59,11.5,92
Email,3,Oregon,98.565,985.65,9.818181818181818,108
Email,11,Texas,89.40818181818182,983.49,8.909090909090908,98
Email and call,3,Massachusetts,163.85333333333332,983.12,11.625,93
Email,7,Wisconsin,98.148,981.48,9.818181818181818,108
Email,1,Nevada,98.024,980.24,9.6,96
Email and call,5,Washington,195.844,979.22,12.8,64
Email and call,7,Minnesota,195.698,978.49,13.2,66
Email,4,Virginia,97.488,974.88,9.818181818181818,108
Email,14,California,97.414,974.14,9.8,98
Email and call,5,Alabama,194.68800000000002,973.44,12.8,64
Email and call,11,Texas,161.77,970.62,10.666666666666666,64
Email and call,9,New York,194.03400000000002,970.1700000000001,12.166666666666666,73
Email and call,2,Colorado,193.902,969.51,12.833333333333334,77
Call,5,Pennsylvania,44.02227272727273,968.49,8.869565217391305,204
Email,3,Colorado,96.394,963.94,9.7,97
Email,12,Illinois,87.3190909090909,960.51,8.545454545454545,94
Email,2,Iowa,96.022,960.22,9.5,95
Email,9,Michigan,95.923,959.23,9.7,97
Call,2,New Jersey,45.38142857142857,953.01,9.095238095238095,191
Email and call,6,Indiana,189.498,947.49,12.5,75
Call,3,New Jersey,45.034285714285716,945.72,9.136363636363637,201
Call,3,Michigan,47.2415,944.83,9.272727272727273,204
Email and call,4,Maryland,188.93400000000003,944.6700000000001,12.6,63
Email and call,0,New Jersey,187.704,938.52,11.666666666666666,70
Email and call,4,Pennsylvania,187.18800000000002,935.94,12.25,98
Call,5,Florida,49.22526315789474,935.28,9.9,198
Call,1,Tennessee,46.4285,928.5699999999999,9.409090909090908,207
Email and call,2,Oregon,185.246,926.23,12.166666666666666,73
Email and call,4,Oklahoma,184.73399999999998,923.67,11.428571428571429,80
Call,7,Texas,46.183,923.66,9.2,184
Email and call,6,Illinois,184.678,923.39,12.285714285714286,86
Email,7,Arizona,102.58,923.22,10.333333333333334,93
Email,7,Missouri,102.33333333333333,921.0,10.222222222222221,92
Email,2,Mississippi,102.13222222222221,919.1899999999999,10.090909090909092,111
Email,6,Arizona,91.799,917.99,9.23076923076923,120
Email,7,Pennsylvania,91.798,917.98,9.2,92
Email,13,Florida,101.31888888888889,911.87,10.3,103
Email,1,Iowa,90.94300000000001,909.4300000000001,9.166666666666666,110
Email and call,3,Alabama,181.7,908.5,12.2,61
Email,5,Washington,100.90555555555555,908.15,10.1,101
Email,6,Indiana,100.86222222222221,907.76,10.2,102
Email and call,1,Mississippi,180.70999999999998,903.55,12.0,60
Email,6,Ohio,99.87,898.83,10.0,100
Email and call,3,Missouri,179.73,898.65,11.666666666666666,70
Call,2,Georgia,49.64277777777778,893.57,9.777777777777779,176
Email,0,South Carolina,99.17222222222222,892.55,9.7,97
Email,1,New Mexico,98.87222222222222,889.85,9.818181818181818,108
Email,2,Arkansas,98.37,885.33,10.3,103
Email,0,Mississippi,98.29888888888888,884.6899999999999,9.88888888888889,89
Call,3,North Carolina,46.51631578947369,883.8100000000001,9.210526315789474,175
Email,4,Connecticut,97.80333333333334,880.23,9.88888888888889,89
Email,2,Utah,97.69333333333333,879.24,10.2,102
Email,4,Massachusetts,97.36444444444444,876.28,9.636363636363637,106
Email,4,Louisiana,97.33666666666666,876.03,9.5,95
Email,6,Iowa,97.22444444444444,875.02,9.777777777777779,88
Email,5,Louisiana,96.37777777777778,867.4,9.7,97
Email and call,1,South Carolina,215.7825,863.13,13.8,69
Email and call,2,Connecticut,172.45,862.25,12.166666666666666,73
Call,1,Maryland,50.49294117647059,858.38,10.0,180
Email,8,Colorado,95.22555555555556,857.03,9.555555555555555,86
Email,5,South Carolina,94.96222222222222,854.66,9.555555555555555,86
Email,16,California,94.9388888888889,854.45,9.333333333333334,84
Email and call,8,Michigan,170.86200000000002,854.3100000000001,11.4,57
Email,3,Connecticut,106.75375,854.03,10.444444444444445,94
Email and call,6,Florida,170.5,852.5,11.5,69
Email,6,North Carolina,93.96777777777778,845.71,9.416666666666666,113
Email,6,Massachusetts,93.96,845.64,9.444444444444445,85
Call,2,Washington,49.724705882352936,845.3199999999999,9.941176470588236,169
Email,1,Mississippi,93.50777777777778,841.5699999999999,9.4,94
Email and call,3,Mississippi,167.83800000000002,839.19,11.0,55
Email,7,New Jersey,92.96777777777778,836.71,9.5,95
Email and call,3,Louisiana,167.094,835.47,11.714285714285714,82
Email,11,Ohio,92.43555555555555,831.92,9.222222222222221,83
Call,4,New Jersey,43.61105263157895,828.61,8.631578947368421,164
Call,6,Ohio,48.32941176470588,821.6,9.470588235294118,161
Email and call,0,Kentucky,205.3975,821.59,13.75,55
Email and call,4,Ohio,164.154,820.77,11.333333333333334,68
Call,6,New York,48.025882352941174,816.4399999999999,9.61111111111111,173
